condition,question_id,iteration,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,latency_ms,prompt_chars
FULL,CR58,0,True,,,"SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT type, COUNT(card_id) AS count FROM card GROUP BY type ORDER BY count DESC",2391,14058
FULL,CR58,1,True,,,"SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT type, COUNT(card_id) AS count FROM card GROUP BY type ORDER BY count DESC",1014,14058
FULL,CR58,2,True,,,"SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT type, COUNT(card_id) AS count FROM card GROUP BY type ORDER BY count DESC",946,14058
FULL,CR58,3,True,,,"SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT type, COUNT(card_id) AS count FROM card GROUP BY type ORDER BY count DESC",1300,14058
FULL,CR58,4,True,,,"SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT card.type, COUNT(DISTINCT card.card_id)
   FROM card
   GROUP BY card.type","SELECT type, COUNT(card_id) AS count FROM card GROUP BY type ORDER BY count DESC",999,14058
FULL,CR55,0,False,,,"SELECT client.client_id, 
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT client.client_id, 
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.client_id IN (SELECT disp.client_id FROM disp JOIN loan ON disp.account_id = loan.account_id GROUP BY disp.client_id HAVING COUNT(DISTINCT loan.loan_id) > 1)",1927,14139
FULL,CR55,1,False,,,"SELECT client.client_id, 
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT client.client_id, 
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.client_id IN (SELECT disp.client_id FROM disp JOIN loan ON disp.account_id = loan.account_id GROUP BY disp.client_id HAVING COUNT(DISTINCT loan.loan_id) > 1)",2111,14139
FULL,CR55,2,False,,,"SELECT client.client_id, 
       CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL) 
       / COUNT(loan.loan_id) * 100 AS default_rate
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT client.client_id, 
       CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL) 
       / COUNT(loan.loan_id) * 100 AS default_rate
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.client_id IN (SELECT disp.client_id FROM disp JOIN loan ON disp.account_id = loan.account_id GROUP BY disp.client_id HAVING COUNT(DISTINCT loan.loan_id) > 1)",1944,14139
FULL,CR55,3,False,,,"SELECT client.client_id, 
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client 
JOIN disp ON disp.client_link 
JOIN account ON disp.account_link 
JOIN loan ON loan.account_link 
GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT client.client_id, 
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client 
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.client_id
HAVING COUNT(loan.loan_id) > 1","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.client_id IN (SELECT disp.client_id FROM disp JOIN loan ON disp.account_id = loan.account_id GROUP BY disp.client_id HAVING COUNT(DISTINCT loan.loan_id) > 1)",2037,14139
FULL,CR55,4,False,,,"SELECT client.client_id, 
       COUNT(loan.loan_id) AS loan_count,
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.client_id
HAVING loan_count > 1","SELECT client.client_id, 
       COUNT(loan.loan_id) AS loan_count,
       SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) * 1.0 / COUNT(loan.loan_id) AS overall_default_rate
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.client_id
HAVING loan_count > 1","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(loan.loan_id) * 100 AS default_rate FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.client_id IN (SELECT disp.client_id FROM disp JOIN loan ON disp.account_id = loan.account_id GROUP BY disp.client_id HAVING COUNT(DISTINCT loan.loan_id) > 1)",2091,14139
FULL,CR18,0,True,,,"SELECT
     CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_link
   JOIN account ON disp.account_link
   JOIN loan ON loan.account_link
   WHERE client.gender = 'F'
-- NOTE: This uses a CASE WHEN to evaluate default status within an aggregate,
--       and counts distinct female clients with loans in the numerator. The
--       aggregation is based on the total number of female clients with loans.","SELECT
     CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE client.gender = 'F'
-- NOTE: This uses a CASE WHEN to evaluate default status within an aggregate,
--       and counts distinct female clients with loans in the numerator. The
--       aggregation is based on the total number of female clients with loans.","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT client.client_id) * 100 FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.gender = 'F'",2794,14072
FULL,CR18,1,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT
     CAST(SUM(CASE WHEN loan.default_rate > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_link
   JOIN account ON disp.account_link
   JOIN loan ON loan.account_link
   WHERE client.gender = 'F'
-- NOTE: The default condition is handled by using the loan.default_rate measure,
-- which encapsulates the logic of dealing with statuses. Since we only want
-- clients with loans, we join loan to account and filter clients accordingly.",,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT client.client_id) * 100 FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.gender = 'F'",2757,14072
FULL,CR18,2,True,,,"SELECT
     CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_link
   JOIN account ON disp.account_link
   JOIN loan ON loan.account_link
   WHERE client.gender = 'F'
-- NOTE: The filtering for gender happens in the WHERE clause, while default status checks are done in the SUM with CASE WHEN.","SELECT
     CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE client.gender = 'F'
-- NOTE: The filtering for gender happens in the WHERE clause, while default status checks are done in the SUM with CASE WHEN.","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT client.client_id) * 100 FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.gender = 'F'",2788,14072
FULL,CR18,3,True,,,"SELECT
     CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_link
   JOIN account ON disp.account_link
   JOIN loan ON loan.account_link
   WHERE client.gender = 'F'
-- NOTE: This follows the pattern of checking conditions with CASE WHEN for percentages.","SELECT
     CAST(SUM(CASE WHEN loan.status IN ('B', 'D') THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE client.gender = 'F'
-- NOTE: This follows the pattern of checking conditions with CASE WHEN for percentages.","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT client.client_id) * 100 FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.gender = 'F'",2170,14072
FULL,CR18,4,False,,"Generated SQL error: Execution failed on sql 'SELECT
     CAST(SUM(CASE WHEN COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE client.gender = 'F'': misuse of aggregate function COUNT()","SELECT
     CAST(SUM(CASE WHEN loan.default_count > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_link
   JOIN account ON disp.account_link
   JOIN loan ON loan.account_link
   WHERE client.gender = 'F'","SELECT
     CAST(SUM(CASE WHEN COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT client.client_id) * 100
   FROM client
   JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE client.gender = 'F'","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT client.client_id) * 100 FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id WHERE client.gender = 'F'",1933,14072
FULL,CR50,0,True,,,"SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client_id) FROM client WHERE STRFTIME('%Y', birth_date) < '1950'",1047,14021
FULL,CR50,1,True,,,"SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client_id) FROM client WHERE STRFTIME('%Y', birth_date) < '1950'",1042,14021
FULL,CR50,2,True,,,"SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client_id) FROM client WHERE STRFTIME('%Y', birth_date) < '1950'",1791,14021
FULL,CR50,3,True,,,"SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client_id) FROM client WHERE STRFTIME('%Y', birth_date) < '1950'",961,14021
FULL,CR50,4,True,,,"SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client.client_id)
   FROM client
   WHERE client.birth_date < '1950-01-01'","SELECT COUNT(client_id) FROM client WHERE STRFTIME('%Y', birth_date) < '1950'",1064,14021
