question_id,difficulty,method,is_correct,error,latency_ms,prompt_chars,generated_sql,gold_sql,question
94,challenging,text_to_sql,False,,2989,2698,"SELECT account.account_id, 
       (SELECT MAX(district.A11) 
        FROM district 
        JOIN client ON client.district_id = district.district_id 
        WHERE client.gender = 'F') - 
       (SELECT MIN(district.A11) 
        FROM district 
        JOIN client ON client.district_id = district.district_id 
        WHERE client.gender = 'F') AS salary_gap
FROM account
JOIN disp ON account.account_id = disp.account_id
JOIN client ON disp.client_id = client.client_id
WHERE client.gender = 'F' 
  AND client.birth_date = (SELECT MIN(client.birth_date) 
                           FROM client 
                           WHERE client.gender = 'F')","SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1","List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?"
94,challenging,semantic_layer,False,"Generated SQL error: Execution failed on sql 'SELECT account.account_id
FROM account
JOIN disp ON account.account_id = disp.account_id
JOIN client ON disp.client_id = client.client_id
JOIN district ON client.district_id = district.district_id
WHERE client.gender = 'F'
AND district.A11 = (
    SELECT MIN(district.A11)
    FROM client
    JOIN district ON client.district_id = district.district_id
    WHERE client.gender = 'F'
    GROUP BY client.client_id
)
GROUP BY account.account_id;

SELECT MAX(district.A11) - MIN(district.A11) AS salary_gap
FROM district
WHERE district.district_id IN (
    SELECT client.district_id
    FROM client
    WHERE client.gender = 'F'
)': You can only execute one statement at a time.",4846,7920,"SELECT account.account_id
FROM account
JOIN disp ON account.account_id = disp.account_id
JOIN client ON disp.client_id = client.client_id
JOIN district ON client.district_id = district.district_id
WHERE client.gender = 'F'
AND district.A11 = (
    SELECT MIN(district.A11)
    FROM client
    JOIN district ON client.district_id = district.district_id
    WHERE client.gender = 'F'
    GROUP BY client.client_id
)
GROUP BY account.account_id;

SELECT MAX(district.A11) - MIN(district.A11) AS salary_gap
FROM district
WHERE district.district_id IN (
    SELECT client.district_id
    FROM client
    WHERE client.gender = 'F'
)","SELECT T1.account_id , ( SELECT MAX(A11) - MIN(A11) FROM district ) FROM account AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id INNER JOIN disp AS T3 ON T1.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T2.district_id = ( SELECT district_id FROM client WHERE gender = 'F' ORDER BY birth_date ASC LIMIT 1 ) ORDER BY T2.A11 DESC LIMIT 1","List out the account numbers of female clients who are oldest and has lowest average salary, calculate the gap between this lowest average salary with the highest average salary?"
95,moderate,text_to_sql,False,"Generated SQL error: Execution failed on sql 'SELECT account.account_id
   FROM client
   JOIN district ON client.district_id = district.district_id
   WHERE client.birth_date = (SELECT MIN(client.birth_date) FROM client)
   AND district.A11 = (SELECT MAX(district.A11) FROM district)': no such column: account.account_id",1504,2529,"SELECT account.account_id
   FROM client
   JOIN district ON client.district_id = district.district_id
   WHERE client.birth_date = (SELECT MIN(client.birth_date) FROM client)
   AND district.A11 = (SELECT MAX(district.A11) FROM district)","SELECT T1.account_id  FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id INNER JOIN client AS T3 ON T2.client_id = T3.client_id INNER JOIN district AS T4 on T4.district_id = T1.district_id WHERE T2.client_id = ( SELECT client_id FROM client ORDER BY birth_date DESC LIMIT 1) GROUP BY T4.A11, T1.account_id",List out the account numbers of clients who are youngest and have highest average salary?
95,moderate,semantic_layer,False,,2265,7751,"SELECT account.account_id
FROM account
JOIN disp ON account.account_id = disp.account_id
JOIN client ON disp.client_id = client.client_id
JOIN district ON client.district_id = district.district_id
WHERE client.birth_date = (SELECT MIN(birth_date) FROM client)
AND district.A11 = (SELECT MAX(A11) FROM district);","SELECT T1.account_id  FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id INNER JOIN client AS T3 ON T2.client_id = T3.client_id INNER JOIN district AS T4 on T4.district_id = T1.district_id WHERE T2.client_id = ( SELECT client_id FROM client ORDER BY birth_date DESC LIMIT 1) GROUP BY T4.A11, T1.account_id",List out the account numbers of clients who are youngest and have highest average salary?
96,simple,text_to_sql,False,,1598,2430,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN account ON disp.account_id = account.account_id
   WHERE account.frequency = 'POPLATEK TYDNE' AND disp.type = 'Owner'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T2.type = 'OWNER' AND T1.frequency = 'POPLATEK TYDNE',How many customers who choose statement of weekly issuance are Owner?
96,simple,semantic_layer,False,,2242,7652,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN account ON disp.account_id = account.account_id
   WHERE account.frequency = 'POPLATEK TYDNE' AND disp.type = 'Owner'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T2.type = 'OWNER' AND T1.frequency = 'POPLATEK TYDNE',How many customers who choose statement of weekly issuance are Owner?
97,simple,text_to_sql,False,,1596,2474,"SELECT DISTINCT client.client_id
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN trans ON disp.account_id = trans.account_id
   WHERE disp.type = 'Disponent' AND trans.operation = 'POPLATEK PO OBRATU'",SELECT T2.client_id FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T1.frequency = 'POPLATEK PO OBRATU' AND T2.type = 'DISPONENT',List out the id number of client who choose statement of issuance after transaction are Disponent?
97,simple,semantic_layer,False,,1691,7696,"SELECT client.client_id
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN account ON disp.account_id = account.account_id
   WHERE account.frequency = 'POPLATEK PO OBRATU'",SELECT T2.client_id FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id WHERE T1.frequency = 'POPLATEK PO OBRATU' AND T2.type = 'DISPONENT',List out the id number of client who choose statement of issuance after transaction are Disponent?
98,moderate,text_to_sql,False,,2700,2513,"SELECT account.account_id
   FROM account
   JOIN loan ON account.account_id = loan.account_id
   WHERE loan.date >= '1997-01-01' AND loan.date < '1998-01-01'
   AND loan.amount = (SELECT MIN(loan.amount)
                      FROM loan
                      WHERE loan.date >= '1997-01-01' AND loan.date < '1998-01-01')
   AND account.frequency = 'POPLATEK TYDNE'","SELECT T2.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T1.date) = '1997' AND T2.frequency = 'POPLATEK TYDNE' ORDER BY T1.amount LIMIT 1","Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement."
98,moderate,semantic_layer,False,,1738,7735,"SELECT account.account_id, MIN(loan.amount) AS lowest_approved_amount
   FROM account
   JOIN loan ON account.account_id = loan.account_id
   WHERE STRFTIME('%Y', loan.date) = '1997' AND account.frequency = 'POPLATEK TYDNE'
   GROUP BY account.account_id","SELECT T2.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T1.date) = '1997' AND T2.frequency = 'POPLATEK TYDNE' ORDER BY T1.amount LIMIT 1","Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement."
99,moderate,text_to_sql,False,,1905,2536,"SELECT account.account_id, MAX(loan.amount) AS highest_approved_amount
   FROM account
   JOIN loan ON account.account_id = loan.account_id
   WHERE loan.duration > 12 AND account.date LIKE '1993%'
   GROUP BY account.account_id
   ORDER BY highest_approved_amount DESC;","SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) = '1993' AND T1.duration > 12 ORDER BY T1.amount DESC LIMIT 1","Among the accounts who have loan validity more than 12 months, list out the accounts that have the highest approved amount and have account opening date in 1993."
99,moderate,semantic_layer,False,,2032,7758,"SELECT account.account_id, MAX(loan.amount) AS max_approved_amount
FROM account
JOIN loan ON account.account_id = loan.account_id
WHERE loan.duration > 12 AND STRFTIME('%Y', account.date) = '1993'
GROUP BY account.account_id
ORDER BY max_approved_amount DESC;","SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) = '1993' AND T1.duration > 12 ORDER BY T1.amount DESC LIMIT 1","Among the accounts who have loan validity more than 12 months, list out the accounts that have the highest approved amount and have account opening date in 1993."
100,moderate,text_to_sql,False,,1893,2515,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN account ON client.client_id = account.account_id
   JOIN district ON client.district_id = district.district_id
   WHERE client.gender = 'F' AND client.birth_date < '1950-01-01' AND district.A2 = 'Sokolov'","SELECT COUNT(T2.client_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.gender = 'F' AND STRFTIME('%Y', T2.birth_date) < '1950' AND T1.A2 = 'Sokolov'","Among the account opened, how many female customers who were born before 1950 and stayed in Sokolov?"
100,moderate,semantic_layer,False,"Generated SQL error: Execution failed on sql 'SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN district ON client.district_id = district.district_id
   JOIN account ON client.client_id = disp.client_id
   WHERE client.gender = 'F' AND client.birth_date < '1950-01-01' AND district.A2 = 'Sokolov'': no such column: disp.client_id",2152,7737,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN district ON client.district_id = district.district_id
   JOIN account ON client.client_id = disp.client_id
   WHERE client.gender = 'F' AND client.birth_date < '1950-01-01' AND district.A2 = 'Sokolov'","SELECT COUNT(T2.client_id) FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.gender = 'F' AND STRFTIME('%Y', T2.birth_date) < '1950' AND T1.A2 = 'Sokolov'","Among the account opened, how many female customers who were born before 1950 and stayed in Sokolov?"
101,simple,text_to_sql,False,,2150,2388,"SELECT account.account_id
   FROM account
   JOIN trans ON account.account_id = trans.account_id
   WHERE trans.date BETWEEN '1995-01-01' AND '1995-12-31'
   GROUP BY account.account_id
   HAVING MIN(trans.date) = (SELECT MIN(trans.date)
                               FROM trans
                               WHERE trans.date BETWEEN '1995-01-01' AND '1995-12-31')","SELECT account_id FROM trans WHERE STRFTIME('%Y', date) = '1995' ORDER BY date ASC LIMIT 1",List out the accounts who have the earliest trading date in 1995 ?
101,simple,semantic_layer,True,,1431,7610,"SELECT account.account_id
FROM account
JOIN trans ON account.account_id = trans.account_id
WHERE STRFTIME('%Y', trans.date) = '1995'
ORDER BY trans.date ASC
LIMIT 1","SELECT account_id FROM trans WHERE STRFTIME('%Y', date) = '1995' ORDER BY date ASC LIMIT 1",List out the accounts who have the earliest trading date in 1995 ?
102,simple,text_to_sql,False,,1603,2436,"SELECT DISTINCT account.account_id
   FROM account
   JOIN loan ON account.account_id = loan.account_id
   WHERE account.date < '1997-01-01' AND loan.amount > 3000","SELECT DISTINCT T2.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) < '1997' AND T1.amount > 3000",State different accounts who have account opening date before 1997 and own an amount of money greater than 3000USD
102,simple,semantic_layer,False,,1389,7658,"SELECT DISTINCT account.account_id
FROM account
JOIN loan ON account.account_id = loan.account_id
WHERE account.date < '1997-01-01' AND loan.amount > 3000","SELECT DISTINCT T2.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) < '1997' AND T1.amount > 3000",State different accounts who have account opening date before 1997 and own an amount of money greater than 3000USD
103,simple,text_to_sql,True,,1144,2391,"SELECT disp.client_id
   FROM disp
   JOIN card ON disp.disp_id = card.disp_id
   WHERE card.issued = '1994-03-03'",SELECT T2.client_id FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T3.issued = '1994-03-03',"Which client issued his/her card in 1994/3/3, give his/her client id."
103,simple,semantic_layer,False,"Generated SQL error: Execution failed on sql 'SELECT card.client_id
   FROM card
   JOIN disp ON card.disp_id = disp.disp_id
   JOIN account ON disp.account_id = account.account_id
   JOIN client ON disp.client_id = client.client_id
   WHERE card.issued = '1994-03-03'': no such column: card.client_id",1847,7613,"SELECT card.client_id
   FROM card
   JOIN disp ON card.disp_id = disp.disp_id
   JOIN account ON disp.account_id = account.account_id
   JOIN client ON disp.client_id = client.client_id
   WHERE card.issued = '1994-03-03'",SELECT T2.client_id FROM client AS T1 INNER JOIN disp AS T2 ON T1.client_id = T2.client_id INNER JOIN card AS T3 ON T2.disp_id = T3.disp_id WHERE T3.issued = '1994-03-03',"Which client issued his/her card in 1994/3/3, give his/her client id."
104,simple,text_to_sql,True,,3350,2402,"SELECT account.date
   FROM account
   JOIN trans ON account.account_id = trans.account_id
   WHERE trans.amount = 840 AND trans.date = '1998-10-14'",SELECT T1.date FROM account AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T2.amount = 840 AND T2.date = '1998-10-14',"The transaction of 840 USD happened in 1998/10/14, when was this account opened?"
104,simple,semantic_layer,True,,2246,7624,"SELECT account.date
   FROM account
   JOIN trans ON account.account_id = trans.account_id
   WHERE trans.amount = 840 AND trans.date = '1998-10-14'",SELECT T1.date FROM account AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T2.amount = 840 AND T2.date = '1998-10-14',"The transaction of 840 USD happened in 1998/10/14, when was this account opened?"
105,simple,text_to_sql,True,,1380,2428,"SELECT account.district_id
   FROM loan
   JOIN account ON loan.account_id = account.account_id
   WHERE loan.date = '1994-08-25'",SELECT T1.district_id FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.date = '1994-08-25',"There was a loan approved in 1994/8/25, where was that account opened, give the district Id of the branch."
105,simple,semantic_layer,True,,1280,7650,"SELECT account.district_id 
FROM loan 
JOIN account ON loan.account_id = account.account_id 
WHERE loan.date = '1994-08-25'",SELECT T1.district_id FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id WHERE T2.date = '1994-08-25',"There was a loan approved in 1994/8/25, where was that account opened, give the district Id of the branch."
106,simple,text_to_sql,False,,1091,2421,"SELECT MAX(trans.amount)
   FROM trans
   JOIN card ON trans.account_id = card.disp_id
   WHERE card.issued = '1996-10-21'",SELECT T4.amount FROM card AS T1 JOIN disp AS T2 ON T1.disp_id = T2.disp_id JOIN account AS T3 on T2.account_id = T3.account_id JOIN trans AS T4 on T3.account_id = T4.account_id WHERE T1.issued = '1996-10-21' ORDER BY T4.amount DESC LIMIT 1,What is the biggest amount of transaction that the client whose card was opened in 1996/10/21 made?
106,simple,semantic_layer,False,"Generated SQL error: Execution failed on sql 'SELECT MAX(trans.amount)
   FROM trans
   JOIN card ON trans.account_id = card.account_id
   WHERE card.issued = '1996-10-21'': no such column: card.account_id",1334,7643,"SELECT MAX(trans.amount)
   FROM trans
   JOIN card ON trans.account_id = card.account_id
   WHERE card.issued = '1996-10-21'",SELECT T4.amount FROM card AS T1 JOIN disp AS T2 ON T1.disp_id = T2.disp_id JOIN account AS T3 on T2.account_id = T3.account_id JOIN trans AS T4 on T3.account_id = T4.account_id WHERE T1.issued = '1996-10-21' ORDER BY T4.amount DESC LIMIT 1,What is the biggest amount of transaction that the client whose card was opened in 1996/10/21 made?
107,simple,text_to_sql,False,,2846,2489,"SELECT client.gender
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN account ON disp.account_id = account.account_id
   JOIN district ON client.district_id = district.district_id
   WHERE account.account_id IN (
      SELECT account.account_id
      FROM account
      JOIN disp ON account.account_id = disp.account_id
      JOIN district ON disp.account_id = district.district_id
      GROUP BY district.district_id
      ORDER BY AVG(district.A11) DESC
      LIMIT 1
   )
   ORDER BY client.birth_date ASC
   LIMIT 1","SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",What is the gender of the oldest client who opened his/her account in the highest average salary branch?
107,simple,semantic_layer,False,,2515,7711,"SELECT client.gender
   FROM client
   JOIN district ON client.district_id = district.district_id
   JOIN account ON client.district_id = account.district_id
   WHERE account.date = (
       SELECT MIN(account.date)
       FROM account
       JOIN district ON account.district_id = district.district_id
       WHERE district.A11 = (
           SELECT MAX(district.A11)
           FROM district
       )
   )
LIMIT 1","SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",What is the gender of the oldest client who opened his/her account in the highest average salary branch?
108,simple,text_to_sql,False,,1405,2437,"SELECT MIN(trans.amount)
   FROM trans
   JOIN account ON trans.account_id = account.account_id
   JOIN loan ON account.account_id = loan.account_id
   WHERE loan.amount = (SELECT MAX(loan.amount) FROM loan) 
     AND trans.date > account.date
   GROUP BY trans.account_id","SELECT T3.amount FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id ORDER BY T1.amount DESC, T3.date ASC LIMIT 1","For the client who applied the biggest loan, what was his/her first amount of transaction after opened the account?"
108,simple,semantic_layer,False,,1921,7659,"SELECT MIN(trans.amount)
FROM trans
JOIN account ON trans.account_id = account.account_id
JOIN loan ON account.account_id = loan.account_id
WHERE loan.amount = (SELECT MAX(amount) FROM loan) 
AND trans.date > account.date","SELECT T3.amount FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id ORDER BY T1.amount DESC, T3.date ASC LIMIT 1","For the client who applied the biggest loan, what was his/her first amount of transaction after opened the account?"
109,simple,text_to_sql,True,,1595,2477,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN account ON disp.account_id = account.account_id
   JOIN district ON client.district_id = district.district_id
   WHERE client.gender = 'F' AND district.A2 = 'Jesenik'",SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A2 = 'Jesenik',How many clients opened their accounts in Jesenik branch were women?
109,simple,semantic_layer,True,,1737,7699,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN account ON client.district_id = account.district_id
   JOIN district ON account.district_id = district.district_id
   WHERE client.gender = 'F' AND district.A2 = 'Jesenik'",SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A2 = 'Jesenik',How many clients opened their accounts in Jesenik branch were women?
110,simple,text_to_sql,False,,1199,2405,"SELECT disp.disp_id
   FROM trans
   JOIN disp ON trans.account_id = disp.account_id
   WHERE trans.amount = 5100 AND trans.date = '1998-09-02'",SELECT T1.disp_id FROM disp AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.date='1997-08-20' AND T3.amount = 5100,What is the disposition id of the client who made 5100 USD transaction in 1998/9/2?
110,simple,semantic_layer,False,,2079,7627,"SELECT disp.disp_id
   FROM disp
   JOIN account ON disp.account_id = account.account_id
   JOIN trans ON account.account_id = trans.account_id
   WHERE trans.amount = 5100 AND trans.date = '1998-09-02'",SELECT T1.disp_id FROM disp AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.date='1997-08-20' AND T3.amount = 5100,What is the disposition id of the client who made 5100 USD transaction in 1998/9/2?
111,simple,text_to_sql,True,,1124,2434,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id
   WHERE district.A2 = 'Litomerice' AND strftime('%Y', account.date) = '1996'","SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) = '1996' AND T1.A2 = 'Litomerice'",How many accounts were opened in Litomerice in 1996?
111,simple,semantic_layer,True,,1647,7656,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id
   WHERE district.A2 = 'Litomerice' AND STRFTIME('%Y', account.date) = '1996'","SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE STRFTIME('%Y', T2.date) = '1996' AND T1.A2 = 'Litomerice'",How many accounts were opened in Litomerice in 1996?
112,simple,text_to_sql,True,,1611,2467,"SELECT district.A2
   FROM client
   JOIN disp ON client.client_id = disp.client_id
   JOIN account ON disp.account_id = account.account_id
   JOIN district ON client.district_id = district.district_id
   WHERE client.gender = 'F' AND client.birth_date = '1976-01-29'",SELECT T1.A2 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.birth_date = '1976-01-29' AND T2.gender = 'F',"For the female client who was born in 1976/1/29, which district did she opened her account?"
112,simple,semantic_layer,True,,1858,7689,"SELECT district.A2
   FROM client
   JOIN district ON client.district_id = district.district_id
   JOIN account ON client.client_id = account.account_id
   WHERE client.gender = 'F' AND client.birth_date = '1976-01-29'",SELECT T1.A2 FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id WHERE T2.birth_date = '1976-01-29' AND T2.gender = 'F',"For the female client who was born in 1976/1/29, which district did she opened her account?"
113,simple,text_to_sql,False,,1410,2403,"SELECT client.birth_date
   FROM client
   JOIN loan ON client.client_id = loan.account_id
   WHERE loan.amount = 98832 AND loan.date = '1996-01-03'",SELECT T4.birth_date FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T1.date = '1996-01-03' AND T1.amount = 98832,"For the client who applied 98832 USD loan in 1996/1/3, when was his/her birthday?"
113,simple,semantic_layer,False,,2002,7625,"SELECT client.birth_date
   FROM client
   JOIN loan ON client.client_id = loan.account_id
   WHERE loan.amount = 98832 AND loan.date = '1996-01-03'",SELECT T4.birth_date FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN disp AS T3 ON T2.account_id = T3.account_id INNER JOIN client AS T4 ON T3.client_id = T4.client_id WHERE T1.date = '1996-01-03' AND T1.amount = 98832,"For the client who applied 98832 USD loan in 1996/1/3, when was his/her birthday?"
