question_id,difficulty,category,iteration,model,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,question,latency_ms,prompt_chars,substitutions
CR04,simple,loan_portfolio,1,gpt-4o,True,,,"SELECT loan.duration, AVG(loan.avg_amount)
FROM loan
GROUP BY loan.duration","SELECT loan.duration, AVG(loan.amount)
FROM loan
GROUP BY loan.duration","SELECT duration, AVG(amount) AS avg_amount FROM loan GROUP BY duration ORDER BY duration",What is the average loan amount by loan duration group?,730,14644,"MEASURE loan.avg_amount -> AVG(loan.amount) | DIM loan.duration -> loan.duration (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT loan.duration, AVG(AVG(loan.amount))
FROM loan
GROUP BY loan.duration' -> 'SELECT loan.duration, AVG(loan.amount)
FROM loan
GROUP BY loan.duration'"
CR04,simple,loan_portfolio,2,gpt-4o,True,,,"SELECT loan.duration, AVG(loan.avg_amount) 
FROM loan 
GROUP BY loan.duration","SELECT loan.duration, AVG(loan.amount) 
FROM loan 
GROUP BY loan.duration","SELECT duration, AVG(amount) AS avg_amount FROM loan GROUP BY duration ORDER BY duration",What is the average loan amount by loan duration group?,1067,14644,"MEASURE loan.avg_amount -> AVG(loan.amount) | DIM loan.duration -> loan.duration (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT loan.duration, AVG(AVG(loan.amount)) 
FROM loan 
GROUP BY loan.duration' -> 'SELECT loan.duration, AVG(loan.amount) 
FROM loan 
GROUP BY loan.duration'"
CR04,simple,loan_portfolio,3,gpt-4o,True,,,"SELECT loan.duration, AVG(loan.avg_amount)
FROM loan
GROUP BY loan.duration","SELECT loan.duration, AVG(loan.amount)
FROM loan
GROUP BY loan.duration","SELECT duration, AVG(amount) AS avg_amount FROM loan GROUP BY duration ORDER BY duration",What is the average loan amount by loan duration group?,905,14644,"MEASURE loan.avg_amount -> AVG(loan.amount) | DIM loan.duration -> loan.duration (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT loan.duration, AVG(AVG(loan.amount))
FROM loan
GROUP BY loan.duration' -> 'SELECT loan.duration, AVG(loan.amount)
FROM loan
GROUP BY loan.duration'"
CR04,simple,loan_portfolio,4,gpt-4o,True,,,"SELECT loan.duration, AVG(loan.avg_amount) FROM loan GROUP BY loan.duration","SELECT loan.duration, AVG(loan.amount) FROM loan GROUP BY loan.duration","SELECT duration, AVG(amount) AS avg_amount FROM loan GROUP BY duration ORDER BY duration",What is the average loan amount by loan duration group?,1442,14644,"MEASURE loan.avg_amount -> AVG(loan.amount) | DIM loan.duration -> loan.duration (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT loan.duration, AVG(AVG(loan.amount)) FROM loan GROUP BY loan.duration' -> 'SELECT loan.duration, AVG(loan.amount) FROM loan GROUP BY loan.duration'"
CR05,simple,loan_portfolio,0,gpt-4o,True,,,"SELECT STRFTIME('%Y', loan.loan_date) AS year, COUNT(loan.loan_id) 
FROM loan 
GROUP BY year","SELECT STRFTIME('%Y', loan.date) AS year, COUNT(loan.loan_id) 
FROM loan 
GROUP BY year","SELECT STRFTIME('%Y', date) AS year, COUNT(loan_id) AS loan_count FROM loan GROUP BY year ORDER BY year",How many loan contracts were approved each year?,1069,14667,DIM loan.loan_date -> loan.date | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column)
CR05,simple,loan_portfolio,1,gpt-4o,True,,,"SELECT strftime('%Y', loan.loan_date) AS approval_year, COUNT(loan.loan_id)
FROM loan
GROUP BY strftime('%Y', loan.loan_date)","SELECT strftime('%Y', loan.date) AS approval_year, COUNT(loan.loan_id)
FROM loan
GROUP BY strftime('%Y', loan.date)","SELECT STRFTIME('%Y', date) AS year, COUNT(loan_id) AS loan_count FROM loan GROUP BY year ORDER BY year",How many loan contracts were approved each year?,1002,14667,DIM loan.loan_date -> loan.date | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column)
CR05,simple,loan_portfolio,2,gpt-4o,True,,,"SELECT STRFTIME('%Y', loan.loan_date) AS approval_year, COUNT(loan.loan_id)
FROM loan
GROUP BY approval_year","SELECT STRFTIME('%Y', loan.date) AS approval_year, COUNT(loan.loan_id)
FROM loan
GROUP BY approval_year","SELECT STRFTIME('%Y', date) AS year, COUNT(loan_id) AS loan_count FROM loan GROUP BY year ORDER BY year",How many loan contracts were approved each year?,887,14667,DIM loan.loan_date -> loan.date | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column)
CR05,simple,loan_portfolio,3,gpt-4o,True,,,"SELECT strftime('%Y', loan.loan_date) AS year, COUNT(loan.loan_id)
FROM loan
GROUP BY year","SELECT strftime('%Y', loan.date) AS year, COUNT(loan.loan_id)
FROM loan
GROUP BY year","SELECT STRFTIME('%Y', date) AS year, COUNT(loan_id) AS loan_count FROM loan GROUP BY year ORDER BY year",How many loan contracts were approved each year?,1009,14667,DIM loan.loan_date -> loan.date | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column)
CR05,simple,loan_portfolio,4,gpt-4o,True,,,"SELECT STRFTIME('%Y', loan.loan_date) AS approval_year, COUNT(loan.loan_id)
FROM loan
GROUP BY STRFTIME('%Y', loan.loan_date)","SELECT STRFTIME('%Y', loan.date) AS approval_year, COUNT(loan.loan_id)
FROM loan
GROUP BY STRFTIME('%Y', loan.date)","SELECT STRFTIME('%Y', date) AS year, COUNT(loan_id) AS loan_count FROM loan GROUP BY year ORDER BY year",How many loan contracts were approved each year?,953,14667,DIM loan.loan_date -> loan.date | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column)
CR06,simple,client_profile,0,gpt-4o,True,,,"SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id) AS cnt FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id GROUP BY client.gender",What is the gender distribution of clients who have loan contracts?,968,14684,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column)
CR06,simple,client_profile,1,gpt-4o,True,,,"SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id) AS cnt FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id GROUP BY client.gender",What is the gender distribution of clients who have loan contracts?,870,14684,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column)
CR06,simple,client_profile,2,gpt-4o,True,,,"SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id) AS cnt FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id GROUP BY client.gender",What is the gender distribution of clients who have loan contracts?,1097,14684,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column)
CR06,simple,client_profile,3,gpt-4o,True,,,"SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON account.loan_link
GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id) AS cnt FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id GROUP BY client.gender",What is the gender distribution of clients who have loan contracts?,1056,14684,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column)
CR06,simple,client_profile,4,gpt-4o,True,,,"SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN loan ON loan.account_link
GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id)
FROM client
JOIN disp ON disp.client_id = client.client_id JOIN account ON disp.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id GROUP BY client.gender","SELECT client.gender, COUNT(DISTINCT client.client_id) AS cnt FROM client JOIN disp ON client.client_id = disp.client_id JOIN loan ON disp.account_id = loan.account_id GROUP BY client.gender",What is the gender distribution of clients who have loan contracts?,1199,14684,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column)
CR07,simple,regional_risk,0,gpt-4o,True,,,"SELECT district.region, COUNT(DISTINCT account.account_id) AS defaulted_accounts
FROM account
JOIN loan ON loan.account_link
JOIN district ON account.district_link
WHERE loan.status = 'D'
GROUP BY district.region
ORDER BY defaulted_accounts DESC
LIMIT 1","SELECT district.A3, COUNT(DISTINCT account.account_id) AS defaulted_accounts
FROM account
JOIN loan ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
GROUP BY district.A3
ORDER BY defaulted_accounts DESC
LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",Which region has the highest number of defaulted loan accounts?,1546,14648,JOIN link loan.account -> ON loan.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR07,simple,regional_risk,1,gpt-4o,True,,,"SELECT district.region, COUNT(loan.loan_id) AS loan_count
FROM loan
JOIN account ON loan.account_link
JOIN district ON account.district_link
WHERE loan.status = 'D'
GROUP BY district.region
ORDER BY loan_count DESC
LIMIT 1","SELECT district.A3, COUNT(loan.loan_id) AS loan_count
FROM loan
JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
GROUP BY district.A3
ORDER BY loan_count DESC
LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",Which region has the highest number of defaulted loan accounts?,3133,14648,JOIN link loan.account -> ON loan.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR07,simple,regional_risk,2,gpt-4o,True,,,"SELECT district.region, COUNT(DISTINCT loan.account_id) AS defaulted_accounts
FROM loan
JOIN account ON loan.account_link
JOIN district ON account.district_link
WHERE loan.status = 'D'
GROUP BY district.region
ORDER BY defaulted_accounts DESC
LIMIT 1","SELECT district.A3, COUNT(DISTINCT loan.account_id) AS defaulted_accounts
FROM loan
JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
GROUP BY district.A3
ORDER BY defaulted_accounts DESC
LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",Which region has the highest number of defaulted loan accounts?,1513,14648,JOIN link loan.account -> ON loan.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR07,simple,regional_risk,3,gpt-4o,True,,,"SELECT district.region, COUNT(DISTINCT account.account_id) AS defaulted_accounts
FROM loan
JOIN account ON loan.account_link
JOIN district ON account.district_link
WHERE loan.status = 'D'
GROUP BY district.region
ORDER BY defaulted_accounts DESC
LIMIT 1","SELECT district.A3, COUNT(DISTINCT account.account_id) AS defaulted_accounts
FROM loan
JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
GROUP BY district.A3
ORDER BY defaulted_accounts DESC
LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",Which region has the highest number of defaulted loan accounts?,1792,14648,JOIN link loan.account -> ON loan.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR07,simple,regional_risk,4,gpt-4o,True,,,"SELECT district.region, COUNT(DISTINCT loan.account_id) AS defaulted_loan_accounts
FROM loan
JOIN account ON loan.account_link
JOIN district ON account.district_link
WHERE loan.status = 'D'
GROUP BY district.region
ORDER BY defaulted_loan_accounts DESC
LIMIT 1","SELECT district.A3, COUNT(DISTINCT loan.account_id) AS defaulted_loan_accounts
FROM loan
JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D'
GROUP BY district.A3
ORDER BY defaulted_loan_accounts DESC
LIMIT 1","SELECT district.A3 AS region, COUNT(loan.loan_id) AS default_count FROM loan JOIN account ON loan.account_id = account.account_id JOIN district ON account.district_id = district.district_id WHERE loan.status = 'D' GROUP BY district.A3 ORDER BY default_count DESC LIMIT 1",Which region has the highest number of defaulted loan accounts?,1388,14648,JOIN link loan.account -> ON loan.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR08,simple,transaction_behavior,0,gpt-4o,True,,,SELECT trans.avg_balance FROM trans,SELECT AVG(trans.balance) FROM trans,SELECT AVG(balance) FROM trans,What is the average account balance across all accounts?,969,14676,MEASURE trans.avg_balance -> AVG(trans.balance)
CR08,simple,transaction_behavior,1,gpt-4o,True,,,SELECT trans.avg_balance FROM trans,SELECT AVG(trans.balance) FROM trans,SELECT AVG(balance) FROM trans,What is the average account balance across all accounts?,660,14676,MEASURE trans.avg_balance -> AVG(trans.balance)
CR08,simple,transaction_behavior,2,gpt-4o,True,,,SELECT trans.avg_balance FROM trans,SELECT AVG(trans.balance) FROM trans,SELECT AVG(balance) FROM trans,What is the average account balance across all accounts?,790,14676,MEASURE trans.avg_balance -> AVG(trans.balance)
CR08,simple,transaction_behavior,3,gpt-4o,True,,,SELECT trans.avg_balance FROM trans,SELECT AVG(trans.balance) FROM trans,SELECT AVG(balance) FROM trans,What is the average account balance across all accounts?,672,14676,MEASURE trans.avg_balance -> AVG(trans.balance)
CR08,simple,transaction_behavior,4,gpt-4o,True,,,SELECT trans.avg_balance FROM trans,SELECT AVG(trans.balance) FROM trans,SELECT AVG(balance) FROM trans,What is the average account balance across all accounts?,1325,14676,MEASURE trans.avg_balance -> AVG(trans.balance)
